,Host,IP Address_x,Used
18,dpastgespkwik02,10.237.82.215,5.85
38,dpastgespkwik01,10.237.82.216,0.41
21,dpastgdeployment,10.237.82.225,4.06
1,dpastgespesm,10.237.82.226,22.86
3,dpastgespproc10,10.237.82.227,20.87
27,dpastgespproc09,10.237.82.228,1.57
32,dpastgespproc08,10.237.82.229,0.53
15,dpastgespproc07,10.237.82.230,9.08
29,dpastgespproc06,10.237.82.231,1.32
37,dpastgespproc05,10.237.82.232,0.44
28,dpastgespproc04,10.237.82.233,1.35
16,dpastgespproc03,10.237.82.234,8.99
31,dpastgespproc02,10.237.82.235,0.82
33,dpastgespproc01,10.237.82.236,0.5
24,dpastgespproc00,10.237.82.237,2.08
19,ip-10-237-82-238,10.237.82.238,4.96
6,ip-10-237-82-239,10.237.82.239,13.61
39,ip-10-237-82-240,10.237.82.240,0.31
34,ip-10-237-82-241.ap-southeast-1.compute.internal,10.237.82.241,0.44
22,dpastgrunmeta03,10.237.82.242,4.0
23,dpastgrunmeta02,10.237.82.243,2.26
11,dpastgrunmeta01,10.237.82.244,10.58
0,dpastgrtdmrundep,10.237.82.245,24.36
35,dpastgmo,10.237.82.246,0.44
26,dpastgma,10.237.82.247,1.69
30,dpastgdesmeta,10.237.82.250,1.25
17,dpastganlytcs,10.237.82.251,5.97
4,dpastgdicomp,10.237.82.252,19.61
20,dpastgdesrtdm,10.237.82.253,4.77
25,dpastgdesmid,10.237.82.254,1.93
